URLs,subdirectory1,subdirectory2,subdirectory3,subdirectory4
https://www.tradingview.com/chart/QQQ/Yt8ECTDF-Nasdaq-QQQ-All-Time-Highs-What-s-Next/,chart,QQQ,Yt8ECTDF-Nasdaq-QQQ-All-Time-Highs-What-s-Next,
https://www.tradingview.com/chart/AMD/k8U6Q6Qt-Getting-pretty-tight/,chart,AMD,k8U6Q6Qt-Getting-pretty-tight,
https://www.tradingview.com/chart/EURUSD/40O6TwQl-EURUSD-Shark-Pattern/,chart,EURUSD,40O6TwQl-EURUSD-Shark-Pattern,
https://www.tradingview.com/chart/SPX/PHMKeTKy-The-Force-is-Strong-in-This-One-The-Fed-vs-the-Rebel-Alliance/,chart,SPX,PHMKeTKy-The-Force-is-Strong-in-This-One-The-Fed-vs-the-Rebel-Alliance,
https://www.tradingview.com/chart/BTCUSD/Hr1TmeQN-Bitcoin-to-1000000-by-Q3-2021-Vibrational-Analysis/,chart,BTCUSD,Hr1TmeQN-Bitcoin-to-1000000-by-Q3-2021-Vibrational-Analysis,
https://www.tradingview.com/chart/EURUSD/hTgglLQ5-EUR-USD/,chart,EURUSD,hTgglLQ5-EUR-USD,
https://www.tradingview.com/chart/RIG/a3RPqXKZ-RIG-if-pattern-confirm-OP-up-to-5/,chart,RIG,a3RPqXKZ-RIG-if-pattern-confirm-OP-up-to-5,
https://www.tradingview.com/chart/XTZUSD/fE1Vt2Lm-XTZ-H-S/,chart,XTZUSD,fE1Vt2Lm-XTZ-H-S,
https://www.tradingview.com/chart/XAUUSD/lUdYm8i0-Do-you-see-what-I-see/,chart,XAUUSD,lUdYm8i0-Do-you-see-what-I-see,
https://www.tradingview.com/chart/SPX/DLUyT9rS-Trader-s-Guide-to-Options-Part-2/,chart,SPX,DLUyT9rS-Trader-s-Guide-to-Options-Part-2,
https://www.tradingview.com/chart/GE/FOhDVHPS-GE-looking-to-go-LONG-Swinging-it-baby/,chart,GE,FOhDVHPS-GE-looking-to-go-LONG-Swinging-it-baby,
https://www.tradingview.com/chart/EWZ/vrceTb33-Brazil/,chart,EWZ,vrceTb33-Brazil,
https://www.tradingview.com/chart/MSFT/ijix0fZQ-MSFT-swing-puts-7-2-expiry-200-strike/,chart,MSFT,ijix0fZQ-MSFT-swing-puts-7-2-expiry-200-strike,
https://www.tradingview.com/chart/BLX/6CSZ9kY4-New-Pine-Updates-Line-get-price-label-styles-and-much-more/,chart,BLX,6CSZ9kY4-New-Pine-Updates-Line-get-price-label-styles-and-much-more,
https://www.tradingview.com/chart/USOIL/81YQwqnF-If-you-have-shorted-oil-you-better-read-this/,chart,USOIL,81YQwqnF-If-you-have-shorted-oil-you-better-read-this,
https://www.tradingview.com/chart/BTCUSD/vpMH5sfd-Bitcoin-Bulls-Drift-In-Sideways-After-Bullish-Engulfing/,chart,BTCUSD,vpMH5sfd-Bitcoin-Bulls-Drift-In-Sideways-After-Bullish-Engulfing,
https://www.tradingview.com/chart/EURUSD/mRv2XoxG-ridethepig-Golden-Cross-for-EURUSD/,chart,EURUSD,mRv2XoxG-ridethepig-Golden-Cross-for-EURUSD,
https://www.tradingview.com/chart/GOLD/zLEbHqsd-GOLD-XAUUSD-Key-HISTORICAL-Level-AHEAD-Important-Update/,chart,GOLD,zLEbHqsd-GOLD-XAUUSD-Key-HISTORICAL-Level-AHEAD-Important-Update,
https://www.tradingview.com/chart/AAPL/SeSQib1r-AAPL-upside-resistance-is-holding/,chart,AAPL,SeSQib1r-AAPL-upside-resistance-is-holding,
https://www.tradingview.com/chart/GOLD/7N8MZVsY-GOLD-Swing-Trade-Analysis-with-Volume-Profile/,chart,GOLD,7N8MZVsY-GOLD-Swing-Trade-Analysis-with-Volume-Profile,
https://www.tradingview.com/chart/SPX/OZHQuIFN-Trader-s-Guide-to-Options-Part-3/,chart,SPX,OZHQuIFN-Trader-s-Guide-to-Options-Part-3,
https://www.tradingview.com/chart/NVDA/Ef446ptQ-NVDA-Nvidia-Stock-Analysis/,chart,NVDA,Ef446ptQ-NVDA-Nvidia-Stock-Analysis,
https://www.tradingview.com/chart/BTCUSD/ey6IDm9T-Bitcoin-Pushed-Back-Steady-But-Not-Comfortable/,chart,BTCUSD,ey6IDm9T-Bitcoin-Pushed-Back-Steady-But-Not-Comfortable,
https://www.tradingview.com/chart/AXE/r2dIBERn-ARCHER-40-OR-23/,chart,AXE,r2dIBERn-ARCHER-40-OR-23,
https://www.tradingview.com/chart/USDJPY/oRZ8HABq-USDJPY-MULTIPLE-OPPORTUNITIES/,chart,USDJPY,oRZ8HABq-USDJPY-MULTIPLE-OPPORTUNITIES,
https://www.tradingview.com/chart/US500/ngoQrsfx-Drink-a-beer-and-wait/,chart,US500,ngoQrsfx-Drink-a-beer-and-wait,
https://www.tradingview.com/chart/NDX/9YugVEJ8-How-I-see-the-Nasdaq-Big-Picture/,chart,NDX,9YugVEJ8-How-I-see-the-Nasdaq-Big-Picture,
https://www.tradingview.com/chart/COPPER1!/TDh32ciO-Copper-short/,chart,COPPER1!,TDh32ciO-Copper-short,
https://www.tradingview.com/chart/BTCUSD/fcHlPsEc-BTC-at-Business-End-of-Triangle-Breakout-or-One-Last-Dip/,chart,BTCUSD,fcHlPsEc-BTC-at-Business-End-of-Triangle-Breakout-or-One-Last-Dip,
https://www.tradingview.com/chart/IOSTUSDT/br8ciHhK-IOST/,chart,IOSTUSDT,br8ciHhK-IOST,
https://www.tradingview.com/chart/USDJPY/iT0xsVaO-USDJPY-TRADING-IDEA-SHORT-TREND/,chart,USDJPY,iT0xsVaO-USDJPY-TRADING-IDEA-SHORT-TREND,
