URLs,subdirectory1,subdirectory2,subdirectory3
https://www.tradingview.com/symbols/NASDAQ-MQ/history-timeline/,symbols,NASDAQ-MQ,history-timeline
https://www.tradingview.com/symbols/NYSE-AMC/history-timeline/,symbols,NYSE-AMC,history-timeline
https://www.tradingview.com/symbols/NYSE-BAC/history-timeline/,symbols,NYSE-BAC,history-timeline
https://www.tradingview.com/symbols/NYSE-UA/history-timeline/,symbols,NYSE-UA,history-timeline
https://www.tradingview.com/symbols/YFIUSD/history-timeline/,symbols,YFIUSD,history-timeline
https://www.tradingview.com/symbols/GOLD/history-timeline/,symbols,GOLD,history-timeline
https://www.tradingview.com/symbols/NASDAQ-BTBT/history-timeline/,symbols,NASDAQ-BTBT,history-timeline
https://www.tradingview.com/symbols/NYSE-SHOP/history-timeline/,symbols,NYSE-SHOP,history-timeline
https://www.tradingview.com/symbols/NYSE-C/history-timeline/,symbols,NYSE-C,history-timeline
https://www.tradingview.com/symbols/NASDAQ-GTLB/history-timeline/,symbols,NASDAQ-GTLB,history-timeline
https://www.tradingview.com/symbols/NYSE-TGT/history-timeline/,symbols,NYSE-TGT,history-timeline
https://www.tradingview.com/symbols/NASDAQ-HXC/history-timeline/,symbols,NASDAQ-HXC,history-timeline
https://www.tradingview.com/symbols/HKEX-9618/history-timeline/,symbols,HKEX-9618,history-timeline
https://www.tradingview.com/symbols/NASDAQ-NXPI/history-timeline/,symbols,NASDAQ-NXPI,history-timeline
https://www.tradingview.com/symbols/NYSE-HSBC/history-timeline/,symbols,NYSE-HSBC,history-timeline
https://www.tradingview.com/symbols/OMXHEX-ROVIO/history-timeline/,symbols,OMXHEX-ROVIO,history-timeline
https://www.tradingview.com/symbols/NYSE-GE/history-timeline/,symbols,NYSE-GE,history-timeline
https://www.tradingview.com/symbols/NASDAQ-BYND/history-timeline/,symbols,NASDAQ-BYND,history-timeline
https://www.tradingview.com/symbols/AUDIOUSD/history-timeline/,symbols,AUDIOUSD,history-timeline
https://www.tradingview.com/symbols/ETHUSD/history-timeline/,symbols,ETHUSD,history-timeline
https://www.tradingview.com/symbols/ANKRUSD/history-timeline/,symbols,ANKRUSD,history-timeline
https://www.tradingview.com/symbols/SPX/history-timeline/,symbols,SPX,history-timeline
https://www.tradingview.com/symbols/NYSE-CMG/history-timeline/,symbols,NYSE-CMG,history-timeline
https://www.tradingview.com/symbols/DCRUSD/history-timeline/,symbols,DCRUSD,history-timeline
https://www.tradingview.com/symbols/NASDAQ-CGC/history-timeline/,symbols,NASDAQ-CGC,history-timeline
https://www.tradingview.com/symbols/NASDAQ-PRTG/history-timeline/,symbols,NASDAQ-PRTG,history-timeline
https://www.tradingview.com/symbols/ERGUSDT/history-timeline/,symbols,ERGUSDT,history-timeline
https://www.tradingview.com/symbols/KNCUSD/history-timeline/,symbols,KNCUSD,history-timeline
